index,game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
1248,2024021019,20242025,2,25,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Dallas,4,1,8475798,8479193,OFF,https://api-web.nhle.com/v1/gamecenter/2024021019/play-by-play,2025-03-09 21:00:00-04:00,9:00 PM,2025-03-09
1432,2024021020,20242025,2,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim,New York,1,4,8481563,8480843,OFF,https://api-web.nhle.com/v1/gamecenter/2024021020/play-by-play,2025-03-09 21:00:00-04:00,9:00 PM,2025-03-09
145,2024021021,20242025,2,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,Buffalo,Edmonton,2,3,8479420,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024021021/play-by-play,2025-03-10 19:00:00-04:00,7:00 PM,2025-03-10
329,2024021022,20242025,2,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,Ottawa,Detroit,1,2,8481528,8476999,OFF,https://api-web.nhle.com/v1/gamecenter/2024021022/play-by-play,2025-03-10 19:30:00-04:00,7:30 PM,2025-03-10
513,2024021023,20242025,2,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado,Chicago,0,3,8477476,8475809,OFF,https://api-web.nhle.com/v1/gamecenter/2024021023/play-by-play,2025-03-10 21:00:00-04:00,9:00 PM,2025-03-10
697,2024021024,20242025,2,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,Utah,Toronto,4,3,,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024021024/play-by-play,2025-03-10 22:00:00-04:00,10:00 PM,2025-03-10
146,2024021025,20242025,2,13,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,Boston,Florida,2,3,8478401,8480280,OFF,https://api-web.nhle.com/v1/gamecenter/2024021025/play-by-play,2025-03-11 19:00:00-04:00,7:00 PM,2025-03-11
330,2024021026,20242025,2,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,New Jersey,Columbus,3,5,8478414,8474593,OFF,https://api-web.nhle.com/v1/gamecenter/2024021026/play-by-play,2025-03-11 19:00:00-04:00,7:00 PM,2025-03-11
514,2024021027,20242025,2,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,Philadelphia,Ottawa,5,2,8478020,8476341,OFF,https://api-web.nhle.com/v1/gamecenter/2024021027/play-by-play,2025-03-11 19:00:00-04:00,7:00 PM,2025-03-11
698,2024021028,20242025,2,54,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,5,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,Pittsburgh,Vegas,2,3,8474578,8477465,OFF,https://api-web.nhle.com/v1/gamecenter/2024021028/play-by-play,2025-03-11 19:00:00-04:00,7:00 PM,2025-03-11
882,2024021029,20242025,2,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina,Tampa Bay,1,4,8476921,8481611,OFF,https://api-web.nhle.com/v1/gamecenter/2024021029/play-by-play,2025-03-11 19:30:00-04:00,7:30 PM,2025-03-11
1066,2024021030,20242025,2,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,30,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota,Colorado,1,2,,8479406,OFF,https://api-web.nhle.com/v1/gamecenter/2024021030/play-by-play,2025-03-11 20:00:00-04:00,8:00 PM,2025-03-11
1250,2024021031,20242025,2,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,Winnipeg,New York,1,2,8480014,8476945,OFF,https://api-web.nhle.com/v1/gamecenter/2024021031/play-by-play,2025-03-11 20:00:00-04:00,8:00 PM,2025-03-11
1434,2024021032,20242025,2,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Montréal,4,2,8481540,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024021032/play-by-play,2025-03-11 22:00:00-04:00,10:00 PM,2025-03-11
1618,2024021033,20242025,2,15,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim,Washington,7,4,8475343,8480313,OFF,https://api-web.nhle.com/v1/gamecenter/2024021033/play-by-play,2025-03-11 22:00:00-04:00,10:00 PM,2025-03-11
1802,2024021034,20242025,2,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,26,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles,New York,1,4,8476479,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024021034/play-by-play,2025-03-11 22:30:00-04:00,10:30 PM,2025-03-11
